Session,Block,ChA,CurrentsA,HitsA,ThresholdA,Closest CurrentA to 50%,ChB,CurrentsB,HitsB,ThresholdB,Closest CurrentB to 50%,ChC,CurrentsC,HitsC,ThresholdC,Closest CurrentC to 50%,Include,Avg Thresholds,Avg Closest Currents,Delta
C:\data\ICMS93\Behavior\30-Aug-2023,1,9,"[6, 7, 8]","[5, 6, 8]",6.21,6,11,"[7, 8, 9]","[4, 7, 9]",7.32,7,12,"[6, 7, 8]","[5, 8, 9]",5.91,6,1,"[7, 8, 6]","[7, 8, 6]","[0, 0, 0]"
C:\data\ICMS93\Behavior\30-Aug-2023,2,9,"[6, 7, 8]","[2, 3, 5]",8.02,8,11,"[7, 8, 9]","[2, 5, 8]",8.02,8,12,"[6, 7, 8]","[4, 7, 9]",6.33,6,1,,,
C:\data\ICMS93\Behavior\30-Aug-2023,3,9,"[6, 7, 8]","[2, 2, 5]",8.2,8,11,"[7, 8, 9]","[4, 6, 5]",8.03,8,12,"[6, 7, 8]","[4, 6, 10]",6.41,7,1,,,
C:\data\ICMS93\Behavior\30-Aug-2023,4,9,"[6, 7, 8]","[4, 7, 7]",6.4,6,11,"[7, 8, 9]","[1, 7, 6]",8.16,8,12,"[6, 7, 8]","[5, 5, 8]",6.4,7,1,,,
C:\data\ICMS93\Behavior\06-Sep-2023,1,9,"[5, 6, 7]","[9, 10, 10]",2.34,5,11,"[5, 6, 7]","[7, 9, 8]",3.57,5,12,"[4, 5, 6]","[8, 9, 10]",2.4,4,1,"[5, 5, 4]","[6, 6, 4]","[-1, -1, 0]"
C:\data\ICMS93\Behavior\06-Sep-2023,2,9,"[5, 6, 7]","[5, 5, 6]",5.82,6,11,"[5, 6, 7]","[4, 6, 8]",5.52,6,12,"[4, 5, 6]","[5, 8, 9]",3.98,4,1,,,
C:\data\ICMS93\Behavior\06-Sep-2023,3,9,"[5, 6, 7]","[2, 4, 6]",6.52,6,11,"[5, 6, 7]","[4, 8, 10]",5.25,5,12,"[4, 5, 6]","[3, 8, 10]",4.39,4,1,,,
C:\data\ICMS93\Behavior\06-Sep-2023,4,9,"[5, 6, 7]","[1, 4, 5]",6.81,7,11,"[5, 6, 7]","[3, 4, 8]",5.99,6,12,"[4, 5, 6]","[1, 6, 7]",5.13,5,1,,,
C:\data\ICMS93\Behavior\12-Sep-2023,1,9,"[3, 4, 5]","[2, 3, 8]",4.28,4,11,"[3, 4, 5]","[3, 6, 10]",3.58,4,12,"[3, 4, 5]","[1, 9, 9]",3.5,4,1,"[5, 4, 5]","[4, 4, 5]","[1, 0, 0]"
C:\data\ICMS93\Behavior\12-Sep-2023,2,9,"[3, 4, 5]","[0, 4, 6]",4.6,4,11,"[3, 4, 5]","[4, 7, 7]",3.32,3,12,"[3, 4, 5]","[0, 4, 9]",4.21,4,1,,,
C:\data\ICMS93\Behavior\12-Sep-2023,3,9,"[3, 4, 5]","[1, 2, 8]",4.52,4,11,"[3, 4, 5]","[0, 5, 6]",4.51,4,12,"[3, 4, 5]","[0, 3, 6]",4.71,5,1,,,
C:\data\ICMS93\Behavior\12-Sep-2023,4,9,"[3, 4, 5]","[0, 1, 1]",5.91,4,11,"[4, 5, 6]","[4, 9, 6]",4.32,4,12,"[4, 5, 6]","[1, 4, 5]",5.81,6,1,,,
C:\data\ICMS93\Behavior\14-Sep-2023,1,9,"[3, 4, 5]","[3, 7, 6]",3.7,4,11,"[4, 5, 6]","[8, 7, 5]",3.7,5,12,"[4, 5, 6]","[6, 5, 6]",4.4,5,1,"[5, 4, 4]","[5, 5, 4]","[0, -1, 0]"
C:\data\ICMS93\Behavior\14-Sep-2023,2,9,"[3, 4, 5]","[1, 3, 4]",5.19,5,11,"[4, 5, 6]","[2, 6, 8]",4.9,5,12,"[4, 5, 6]","[5, 6, 7]",4.16,4,1,,,
C:\data\ICMS93\Behavior\14-Sep-2023,3,9,"[3, 4, 5]","[0, 3, 5]",4.88,5,11,"[4, 5, 6]","[7, 5, 6]",4.17,5,12,"[4, 5, 6]","[4, 3, 9]",4.87,4,1,,,
C:\data\ICMS93\Behavior\14-Sep-2023,4,9,"[3, 4, 5]","[0, 0, 2]",5.5,5,11,"[4, 5, 6]","[3, 4, 4]",5.94,5,12,"[4, 5, 6]","[3, 3, 2]",6.64,5,0,,,
C:\data\ICMS93\Behavior\20-Sep-2023,1,9,"[4, 5, 6]","[8, 8, 9]",3.3,5,11,"[2, 3, 4]","[4, 4, 8]",2.89,3,12,"[2, 3, 4]","[0, 3, 7]",3.53,3,1,"[5, 3, 4]","[5, 3, 4]","[0, 0, 0]"
C:\data\ICMS93\Behavior\20-Sep-2023,2,9,"[3, 4, 5]","[1, 4, 4]",5.05,4,11,"[2, 3, 4]","[0, 9, 10]",2.61,3,12,"[3, 4, 5]","[0, 5, 10]",4.0,4,1,,,
C:\data\ICMS93\Behavior\20-Sep-2023,3,9,"[4, 5, 6]","[0, 7, 8]",4.89,5,11,"[2, 3, 4]","[1, 8, 10]",2.6,3,12,"[3, 4, 5]","[0, 5, 10]",4.0,4,1,,,
C:\data\ICMS93\Behavior\20-Sep-2023,4,9,"[4, 5, 6]","[2, 4, 7]",5.3,5,11,"[2, 3, 4]","[1, 5, 5]",3.64,3,12,"[3, 4, 5]","[1, 3, 4]",5.19,5,1,,,
C:\data\ICMS93\Behavior\22-Sep-2023,1,9,"[3, 4, 5]","[3, 1, 7]",4.74,4,11,"[2, 3, 4]","[1, 8, 8]",2.63,3,12,"[3, 4, 5]","[1, 5, 10]",3.92,4,1,"[5, 3, 4]","[5, 4, 4]","[0, -1, 0]"
C:\data\ICMS93\Behavior\22-Sep-2023,2,9,"[4, 5, 6]","[3, 3, 10]",4.85,5,11,"[2, 3, 4]","[0, 4, 7]",3.44,3,12,"[3, 4, 5]","[0, 2, 7]",4.62,5,1,,,
C:\data\ICMS93\Behavior\22-Sep-2023,3,9,"[4, 5, 6]","[3, 6, 6]",5.03,5,11,"[3, 4, 5]","[3, 7, 7]",3.74,4,12,"[4, 5, 6]","[6, 9, 9]",3.61,4,1,,,
C:\data\ICMS93\Behavior\22-Sep-2023,4,9,"[4, 5, 6]","[2, 4, 4]",6.11,5,11,"[3, 4, 5]","[2, 6, 10]",3.72,4,12,"[4, 5, 6]","[4, 7, 8]",3.95,4,1,,,
C:\data\ICMS93\Behavior\26-Sep-2023,1,9,"[2, 3, 4]","[0, 2, 2]",4.56,3,11,"[2, 3, 4]","[5, 5, 7]",2.63,3,12,"[3, 4, 5]","[6, 7, 8]",2.79,3,1,"[5, 4, 5]","[4, 3, 4]","[1, 1, 1]"
C:\data\ICMS93\Behavior\26-Sep-2023,2,9,"[4, 5, 6]","[3, 5, 8]",4.86,5,11,"[2, 3, 4]","[0, 6, 6]",3.38,3,12,"[3, 4, 5]","[0, 3, 7]",4.53,4,1,,,
C:\data\ICMS93\Behavior\26-Sep-2023,3,9,"[4, 5, 6]","[5, 4, 2]",6.13,4,11,"[2, 3, 4]","[0, 5, 2]",4.28,3,12,"[3, 4, 5]","[1, 3, 2]",5.64,4,1,,,
C:\data\ICMS93\Behavior\26-Sep-2023,4,9,"[4, 5, 6]","[2, 3, 6]",5.66,6,11,"[2, 3, 4]","[1, 2, 4]",4.21,4,12,"[3, 4, 5]","[1, 2, 4]",5.3,5,1,,,
C:\data\ICMS93\Behavior\29-Sep-2023,1,9,"[4, 5, 6]","[4, 6, 7]",4.67,5,11,"[2, 3, 4]","[0, 4, 8]",3.32,3,12,"[4, 5, 6]","[2, 5, 9]",4.88,5,1,"[6, 4, 5]","[6, 4, 5]","[0, 0, 0]"
C:\data\ICMS93\Behavior\29-Sep-2023,2,9,"[4, 5, 6]","[1, 6, 8]",5.02,5,11,"[2, 3, 4]","[0, 6, 2]",4.17,3,12,"[4, 5, 6]","[2, 9, 7]",4.39,4,1,,,
C:\data\ICMS93\Behavior\29-Sep-2023,3,9,"[4, 5, 6]","[2, 3, 4]",6.26,6,11,"[2, 3, 4]","[0, 3, 6]",3.69,4,12,"[4, 5, 6]","[3, 3, 7]",5.35,5,1,,,
C:\data\ICMS93\Behavior\29-Sep-2023,4,9,"[5, 6, 7]","[0, 2, 3]",7.46,7,11,"[3, 4, 5]","[0, 5, 4]",4.92,4,12,"[4, 5, 6]","[4, 3, 4]",6.0,5,1,,,
C:\data\ICMS93\Behavior\04-Oct-2023,1,9,"[4, 5, 6]","[3, 5, 5]",5.44,5,11,"[2, 3, 4]","[2, 4, 8]",3.12,3,12,"[3, 4, 5]","[2, 5, 4]",4.78,4,1,"[6, 4, 5]","[5, 4, 4]","[1, 0, 1]"
C:\data\ICMS93\Behavior\04-Oct-2023,2,9,"[4, 5, 6]","[3, 6, 9]",4.64,5,11,"[2, 3, 4]","[1, 3, 6]",3.66,4,12,"[3, 4, 5]","[1, 4, 3]",5.27,4,1,,,
C:\data\ICMS93\Behavior\04-Oct-2023,3,9,"[4, 5, 6]","[2, 4, 2]",6.56,5,11,"[3, 4, 5]","[3, 6, 4]",4.46,4,12,"[4, 5, 6]","[2, 5, 3]",6.14,5,1,,,
C:\data\ICMS93\Behavior\04-Oct-2023,4,9,"[4, 5, 6]","[1, 1, 3]",6.76,6,11,"[3, 4, 5]","[1, 3, 2]",5.64,4,12,"[4, 5, 6]","[3, 5, 4]",5.71,5,0,,,
C:\data\ICMS93\Behavior\06-Oct-2023,1,9,"[4, 5, 6]","[3, 3, 6]",5.63,6,11,"[3, 4, 5]","[6, 2, 4]",4.66,4,12,"[4, 5, 6]","[1, 1, 6]",5.86,6,1,"[7, 6, 7]","[6, 5, 6]","[1, 1, 1]"
C:\data\ICMS93\Behavior\06-Oct-2023,2,9,"[4, 5, 6]","[0, 4, 3]",6.33,5,11,"[3, 4, 5]","[0, 1, 2]",5.66,5,12,"[4, 5, 6]","[2, 4, 2]",6.56,5,1,,,
C:\data\ICMS93\Behavior\06-Oct-2023,3,9,"[5, 6, 7]","[2, 2, 2]",8.07,6,11,"[4, 5, 6]","[3, 4, 3]",6.18,5,12,"[5, 6, 7]","[2, 2, 2]",8.07,6,0,,,
C:\data\ICMS93\Behavior\06-Oct-2023,4,9,"[5, 6, 7]","[1, 2, 0]",8.25,6,11,"[4, 5, 6]","[1, 0, 4]",6.19,6,12,"[5, 6, 7]","[0, 1, 4]",7.19,7,1,,,
